run_accession,te,reads,reads_in_file,reads_mapped
SRR1663540,Rt1a,18157,22319569,2246977
SRR1663540,Helena,2002,22319569,2246977
SRR1663540,Tom1,659,22319569,2246977
SRR1663540,Doc,45037,22319569,2246977
SRR1663540,Dtei:I-element,1037,22319569,2246977
SRR1663540,springer,12241,22319569,2246977
SRR1663540,Tirant,8384,22319569,2246977
SRR1663540,Osvaldo,998,22319569,2246977
SRR1663540,Dhyd:Minos,84,22319569,2246977
SRR1663540,Dsub:SGM,20,22319569,2246977
SRR1663540,R1-2,1384,22319569,2246977
SRR1663540,S-element,12372,22319569,2246977
SRR1663540,gtwin,4842,22319569,2246977
SRR1663540,hopper2,1676,22319569,2246977
SRR1663540,Dvir:Helena,28974,22319569,2246977
SRR1663540,G5A,5409,22319569,2246977
SRR1663540,Transpac,20845,22319569,2246977
SRR1663540,copia,28361,22319569,2246977
SRR1663540,rover,16015,22319569,2246977
SRR1663540,Cr1a,78325,22319569,2246977
SRR1663540,S2,2447,22319569,2246977
SRR1663540,gypsy,7022,22319569,2246977
SRR1663540,Helitron,65,22319569,2246977
SRR1663540,Dbuz:ISBu2,6,22319569,2246977
SRR1663540,McClintock,14661,22319569,2246977
SRR1663540,Dm88,15107,22319569,2246977
SRR1663540,1360,49254,22319569,2246977
SRR1663540,diver,18165,22319569,2246977
SRR1663540,Stalker,29646,22319569,2246977
SRR1663540,INE-1,9030,22319569,2246977
SRR1663540,Dvir:Tv1,45,22319569,2246977
SRR1663540,TAHRE,22506,22319569,2246977
SRR1663540,BS,12404,22319569,2246977
SRR1663540,Dsub:GEM,219,22319569,2246977
SRR1663540,412,35369,22319569,2246977
SRR1663540,Doc4-element,3764,22319569,2246977
SRR1663540,diver2,11646,22319569,2246977
SRR1663540,Max-element,23894,22319569,2246977
SRR1663540,F-element,91742,22319569,2246977
SRR1663540,Fw2,3075,22319569,2246977
SRR1663540,Fw3,2070,22319569,2246977
SRR1663540,Burdock,17293,22319569,2246977
SRR1663540,Dvir:TART,847,22319569,2246977
SRR1663540,Tc1-2,4403,22319569,2246977
SRR1663540,blood,31941,22319569,2246977
SRR1663540,TART-A,12443,22319569,2246977
SRR1663540,Dbuz:BuT3,3,22319569,2246977
SRR1663540,TART-C,1367,22319569,2246977
SRR1663540,Dnet:R1A,13,22319569,2246977
SRR1663540,TART-B,1431,22319569,2246977
SRR1663540,Dbuz:BuT6,12,22319569,2246977
SRR1663540,17.6,34151,22319569,2246977
SRR1663540,X-element,15763,22319569,2246977
SRR1663540,R1A1-element,234994,22319569,2246977
SRR1663540,I-element,34207,22319569,2246977
SRR1663540,Tc1,6990,22319569,2246977
SRR1663540,Tc3,1456,22319569,2246977
SRR1663540,Doc3-element,26408,22319569,2246977
SRR1663540,Dbuz:INE-1,119,22319569,2246977
SRR1663540,rooA,18584,22319569,2246977
SRR1663540,Dfun:Isfun-1,40,22319569,2246977
SRR1663540,Q-element,1154,22319569,2246977
SRR1663540,frogger,1419,22319569,2246977
SRR1663540,accord2,10472,22319569,2246977
SRR1663540,NOF,528,22319569,2246977
SRR1663540,hobo,11617,22319569,2246977
SRR1663540,P-element,9000,22319569,2246977
SRR1663540,baggins,34657,22319569,2246977
SRR1663540,Dyak:TART,350,22319569,2246977
SRR1663540,gypsy2,12781,22319569,2246977
SRR1663540,gypsy3,6590,22319569,2246977
SRR1663540,mdg3,15098,22319569,2246977
SRR1663540,gypsy4,23357,22319569,2246977
SRR1663540,gypsy5,3891,22319569,2246977
SRR1663540,mdg1,42131,22319569,2246977
SRR1663540,gypsy6,13224,22319569,2246977
SRR1663540,gypsy7,7423,22319569,2246977
SRR1663540,Ddip:Bari1,638,22319569,2246977
SRR1663540,gypsy8,3793,22319569,2246977
SRR1663540,gypsy9,2442,22319569,2246977
SRR1663540,Stalker4,36931,22319569,2246977
SRR1663540,Dyak:HeT-A,1,22319569,2246977
SRR1663540,Stalker2,16513,22319569,2246977
SRR1663540,gypsy11,1906,22319569,2246977
SRR1663540,Dsim:ninja,5073,22319569,2246977
SRR1663540,Stalker3,1705,22319569,2246977
SRR1663540,gypsy12,11827,22319569,2246977
SRR1663540,FB,9984,22319569,2246977
SRR1663540,Damb:P-element_T,45,22319569,2246977
SRR1663540,3S18,14649,22319569,2246977
SRR1663540,Ivk,19022,22319569,2246977
SRR1663540,gypsy10,7275,22319569,2246977
SRR1663540,Dsil:Loa,2,22319569,2246977
SRR1663540,aurora-element,5062,22319569,2246977
SRR1663540,transib1,1622,22319569,2246977
SRR1663540,transib2,8976,22319569,2246977
